Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
684,1/1/2016 19:10,1/1/2016 19:21,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.0337589,24391,Subscriber,1983,1
438,1/1/2016 19:38,1/1/2016 19:45,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,24449,Subscriber,1986,1
167,1/1/2016 19:44,1/1/2016 19:47,3202,Newport PATH,40.7272235,-74.0337589,3199,Newport Pkwy,40.7287448,-74.0321082,24391,Customer,,0
470,1/1/2016 20:00,1/1/2016 20:08,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,24449,Subscriber,1975,2
435,1/1/2016 20:00,1/1/2016 20:07,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,24379,Subscriber,1992,1
219,1/1/2016 20:18,1/1/2016 20:22,3195,Sip Ave,40.73074262530658,-74.06378388,3206,Hilltop,40.7311689,-74.0575736,24642,Subscriber,1989,1
156,1/1/2016 20:35,1/1/2016 20:38,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,24391,Subscriber,1981,1
224,1/1/2016 20:37,1/1/2016 20:41,3195,Sip Ave,40.73074262530658,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,24551,Subscriber,1969,1
251,1/1/2016 20:42,1/1/2016 20:47,3186,Grove St PATH,40.71958611647166,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24645,Subscriber,1982,1
952,1/1/2016 20:56,1/1/2016 21:12,3207,Oakland Ave,40.7376037,-74.0524783,3214,Essex Light Rail,40.7127742,-74.0364857,24417,Subscriber,1960,1
600,1/1/2016 21:13,1/1/2016 21:23,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,24721,Subscriber,1973,1
776,1/1/2016 21:18,1/1/2016 21:31,3186,Grove St PATH,40.71958611647166,-74.04311746,3192,Liberty Light Rail,40.7112423,-74.0557013,24625,Subscriber,1977,2
426,1/1/2016 21:19,1/1/2016 21:26,3195,Sip Ave,40.73074262530658,-74.06378388,3193,Lincoln Park,40.7246051,-74.07840595,24466,Subscriber,1991,2
416,1/1/2016 22:25,1/1/2016 22:32,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074262530658,-74.06378388,24405,Subscriber,1983,1
599,1/1/2016 22:29,1/1/2016 22:39,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,24629,Subscriber,1980,1
